year,pce,gce,gfcf_total,gfcf_private,gfcf_public,exports_gs,exports_goods,exports_services,imports_gs,imports_goods,imports_services,change_in_inventory_thb_bn,residual_thb_bn
2009,53.06578019513458,15.980051905713283,23.108954889944958,16.382943940400885,6.726010949544073,64.43861249176517,53.733325727038725,10.705286764726436,54.83080636282419,42.626399688487034,12.204406674337152,-2.472556513233141,0.7099633934993307
2010,52.1755305836478,15.800815033477067,23.992701800355196,17.876814198921277,6.1158876014339185,66.48617315922391,56.437612559787084,10.048560599436813,60.76434947902716,48.66198593745735,12.102363541569806,1.3639528337193847,0.9451760686038169
2011,52.9609426309903,16.141780961122343,25.836369383454677,20.137462892147507,5.698906491307171,70.85490938016112,59.65109288075801,11.203816499403107,68.82049784441473,56.39165126162718,12.428846582787546,0.9550888633902148,2.0714066252960803
2012,53.26839703878067,16.352982704533062,26.993652842172693,21.101317742925623,5.892335099247071,68.95123562979806,57.25991884015187,11.691316789646187,68.72370288044144,57.24036771014349,11.48333517029795,1.0305128724283912,2.1269217927285657
2013,52.55224907043336,16.36348544864879,25.383537700429216,19.676375620027258,5.707162080401958,67.1711410731483,54.12785503669409,13.04328603645422,65.29113310112041,54.02357446962709,11.26755863149332,2.0735634825373412,1.7471563259233838
2014,52.59621396454685,16.916361105534687,24.661391000539368,19.441609202630566,5.219781797908801,68.39413516121776,55.63306028342206,12.761074877795703,62.511360283180196,51.40478253560916,11.10657774757103,-0.7423714526892201,0.6856305040307464
2015,51.34470308830078,17.12115126590936,24.5284891453984,18.235286841469556,6.293202303928845,67.63669027058648,53.17691734553402,14.45977292505246,57.20297188193966,46.61867299985157,10.584298882088088,-2.1728485070739,-1.2552133811814767
2016,50.00945488784804,16.86518275760183,23.713626354209637,17.335713356038315,6.3779129981713245,67.07088396930105,51.632474287605554,15.438409681695495,53.50434331982873,42.97937052447795,10.524972795350786,-2.608137152692224,-1.5466674964395957
2017,48.93086324294981,16.298403787440932,23.108364930635723,17.131884325207132,5.9764806054285895,66.67283246637669,51.13884580361483,15.533986662761876,54.21859496726121,44.00494451942401,10.213650447837205,-0.1740692418661803,-0.617800218275766
2018,48.8885134819444,16.173966428236433,22.786226368066682,16.936852785652874,5.849373582413805,64.83809689933204,49.561405999984245,15.2766908993478,56.00376783165173,45.1613515944789,10.842416237172824,2.43336379137724,0.8836008626949304
2019,49.77380776585048,16.16935203580708,22.572951169784858,16.871156635605743,5.701794534179114,59.518890621885944,44.61330080440879,14.90558981747716,50.17062409328011,39.71708148663753,10.453542606642575,1.2418014048525998,0.8938210950991445
2020,53.06742576382395,17.801537995738222,23.22111674919389,16.7848045152356,6.436312233958291,51.33881896644233,45.3471700571814,5.991648909260934,46.32362297067345,37.253868303925024,9.069754666748429,0.5431594385082757,0.351564056966782
2021,52.25463772990745,18.240395609912518,23.514527035315346,16.96478698771555,6.549740047599799,58.42111244462289,53.547487730349296,4.873624714273593,58.710359738576216,47.239188775232435,11.47117096334378,5.16272369529578,1.116963223522233
2022,54.58476808331595,17.715894330286183,23.361246286959584,17.299953249854354,6.061293037105231,65.33383200155353,57.478823622488974,7.855008379064565,67.47962628652805,54.802275653243385,12.677350633284664,4.462046793299625,2.021838791113157
2023,57.24625812744672,16.586196438576202,22.880314154288424,17.23981569256425,5.640498461724173,65.51358827450174,54.340654415110336,11.172933859391414,63.27877141566337,50.57962740028912,12.699144015374255,-0.48627823060015407,1.5386926514504342
2024,57.834215234002684,16.607410620316283,22.066884579911846,16.360759602069976,5.7061249778418714,69.67262916583529,56.108551924524484,13.564077241310802,66.05230667193038,52.09547927069569,13.956827401234689,-0.6140691915943833,0.4852362634586549
2025,58.463685136668566,16.654833274087306,22.665927883457794,16.533400000927696,6.132527882530097,71.2052233912595,58.02400476160958,13.18121862964992,67.3477693343403,53.981232924598984,13.366536409741311,-0.5920860378828801,-1.049814313249984
